Model,memSize,memBusWidth,gpuClock,memClock,tmu,rop,igp,bus,memType,gpuChip
Radeon Pro 580X,8,256,1100,1710,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Radeon Pro Vega 48,8,2048,1200,786,192,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro Vega 64X,16,2048,1250,1000,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro Vega II,32,4096,1574,806,256,64,No,PCIe 3.0 x16,HBM2,Vega 20
Radeon Pro Vega II Duo,32,4096,1400,1000,256,64,No,PCIe 3.0 x16,HBM2,Vega 20
Radeon Pro W5300M,4,128,1000,1500,80,32,No,PCIe 4.0 x8,GDDR6,Navi 14
Radeon Pro W5700,8,256,1400,1750,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10
Radeon Pro W5700X,16,256,1243,1750,160,64,No,PCIe 4.0 x16,GDDR6,Navi 10
Radeon Pro WX 3200,4,128,1295,1500,32,16,No,PCIe 3.0 x8,GDDR5,Polaris 23
Radeon Pro WX 3200 Mobile,4,128,1082,1000,32,16,No,PCIe 3.0 x8,GDDR5,Polaris 23
Radeon R7 350 640SP,2,128,925,1125,40,16,No,PCIe 3.0 x16,GDDR5,Cape Verde
RX 5300 XT,4,128,1670,1750,88,32,No,PCIe 4.0 x8,GDDR5,Navi 14
RX 5300M,3,96,1000,1750,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14
RX 5500 OEM,4,128,1500,1750,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14
RX 5500 XT,4,128,1607,1750,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14
RX 5500M,4,128,1375,1750,88,32,No,PCIe 4.0 x8,GDDR6,Navi 14
RX 560 XT,4,256,1074,1750,112,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
RX 560X Mobile,4,128,1223,1750,56,16,No,PCIe 3.0 x16,GDDR5,Polaris 31
RX 5700,8,256,1465,1750,144,64,No,PCIe 4.0 x16,GDDR6,Navi 10
RX 5700 XT,8,256,1605,1750,160,64,No,PCIe 4.0 x16,GDDR6,Navi 10
RX 5700 XT 50th Anniversary,8,256,1680,1750,160,64,No,PCIe 4.0 x16,GDDR6,Navi 10
RX 640 Mobile,2,64,1082,1500,40,16,No,PCIe 3.0 x8,GDDR5,Polaris 23
RX Vega 11,,,300,,44,8,Yes,IGP,System Shared,Picasso
RX Vega 11 Mobile,,,300,,44,8,Yes,IGP,System Shared,Picasso
Radeon Vega 10 Mobile,,,300,,40,8,Yes,IGP,System Shared,Raven
Radeon Vega 10 Mobile,,,300,,40,8,Yes,IGP,System Shared,Picasso
Radeon Vega 10 Mobile,,,300,,40,8,Yes,IGP,System Shared,Picasso
Radeon Vega 11,,,300,,44,8,Yes,IGP,System Shared,Picasso
Radeon Vega 3,,,300,,12,4,Yes,IGP,System Shared,Picasso
Radeon Vega 3 Embedded,,,300,,12,4,Yes,IGP,System Shared,Picasso
Radeon Vega 3 Embedded,,,300,,12,4,Yes,IGP,System Shared,Picasso
Radeon Vega 3 Mobile,,,300,,12,4,Yes,IGP,System Shared,Picasso
Radeon Vega 6 Mobile,,,300,,24,8,Yes,IGP,System Shared,Raven
Radeon Vega 6 Mobile,,,300,,24,8,Yes,IGP,System Shared,Picasso
Radeon Vega 8,,,300,,32,8,Yes,IGP,System Shared,Picasso
Radeon Vega 8 Mobile,,,300,,32,8,Yes,IGP,System Shared,Raven
Radeon Vega 8 Mobile,,,300,,32,8,Yes,IGP,System Shared,Picasso
Radeon Vega 8 Mobile,,,300,,32,8,Yes,IGP,System Shared,Picasso
Radeon Vega 9 Mobile,,,300,,36,8,Yes,IGP,System Shared,Picasso
Radeon VII,16,4096,1400,1000,240,64,No,PCIe 3.0 x16,HBM2,Vega 20
Switch GPU 16nm,4,64,384,1600,16,16,No,IGP,DDR4,GM20B
Tesla PG500-216,32,4096,1260,1106,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla PG503-216,32,4096,1312,1106,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100 SXM2 16 GB,16,4096,1245,1106,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100S PCIe 32 GB,32,4096,1245,1106,320,128,No,PCIe 3.0 x16,HBM2,GV100
UHD Graphics,,,300,,24,3,Yes,Ring Bus,System Shared,Comet Lake GT2
UHD Graphics,,,300,,24,3,Yes,Ring Bus,System Shared,Comet Lake GT1
UHD Graphics,,,300,,24,3,Yes,Ring Bus,System Shared,Amber Lake GT2
UHD Graphics G1,,,300,,16,8,Yes,Ring Bus,System Shared,Ice Lake GT1
GT 1030 DDR4,2,64,1152,1050,24,16,No,PCIe 3.0 x4,DDR4,GP108
GT 1030 GK107,2,128,1058,1250,32,16,No,PCIe 3.0 x16,GDDR5,GK107
GTX 1050 3 GB,3,96,1392,1752,48,24,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1050 Max-Q,4,128,1000,1752,40,16,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1050 Ti Max-Q,4,128,1152,1752,48,32,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1060 6 GB GDDR5X,6,192,1506,1001,80,48,No,PCIe 3.0 x16,GDDR5X,GP104
GTX 1060 6 GB GP104,6,192,1506,2002,80,48,No,PCIe 3.0 x16,GDDR5,GP104
GTX 1060 6 GB Rev. 2,6,192,1506,2002,80,48,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1070 GDDR5X,8,256,1506,1001,120,64,No,PCIe 3.0 x16,GDDR5X,GP104
RTX 2070,8,256,1410,1750,144,64,No,PCIe 3.0 x16,GDDR6,TU106
RTX 2080,8,256,1515,1750,184,64,No,PCIe 3.0 x16,GDDR6,TU104
RTX 2080 Ti,11,352,1350,1750,272,88,No,PCIe 3.0 x16,GDDR6,TU102
Iris Plus Graphics 655,,,300,,48,6,Yes,Ring Bus,System Shared,Coffee Lake GT3e
Jetson AGX Xavier GPU,,,854,,32,16,Yes,IGP,System Shared,GV10B
P102-100,5,320,1582,1376,200,80,No,PCIe 3.0 x4,GDDR5X,GP102
P102-101,10,320,1557,2002,200,80,No,PCIe 3.0 x4,GDDR5,GP102
P104-101,4,256,1506,2002,160,64,No,PCIe 3.0 x16,GDDR5,GP104
Quadro GV100,32,4096,1132,848,320,128,No,PCIe 3.0 x16,HBM2,GV100
Quadro P3200 Max-Q,6,192,1139,1753,112,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P3200 Mobile,6,192,1328,1753,112,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P4200 Mobile,8,256,1227,1502,144,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P500 Mobile,2,64,1455,1253,16,16,No,PCIe 3.0 x16,GDDR5,GP108
Quadro P5200 Max-Q,16,256,1316,1804,160,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P5200 Mobile,16,256,1557,1804,160,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P620,2,128,1266,1252,32,16,No,PCIe 3.0 x16,GDDR5,GP107
Quadro P620 Mobile,4,128,1177,1502,32,16,No,PCIe 3.0 x16,GDDR5,GP107
Quadro RTX 4000,8,256,1005,1625,144,64,No,PCIe 3.0 x16,GDDR6,TU104
Quadro RTX 5000,16,256,1620,1750,192,64,No,PCIe 3.0 x16,GDDR6,TU104
Quadro RTX 6000,24,384,1440,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
Quadro RTX 6000 Passive,24,384,1305,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
Quadro RTX 8000,48,384,1395,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
Quadro RTX 8000 Passive,48,384,1230,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
Radeon 540X Mobile,2,64,980,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon 550X 640SP,4,64,1019,1500,40,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon 550X Mobile,4,64,1100,1500,40,16,No,PCIe 3.0 x8,GDDR5,Polaris 23
Radeon Instinct MI50,16,4096,1200,1000,240,64,No,PCIe 4.0 x16,HBM2,Vega 20
Radeon Instinct MI60,32,4096,1200,1000,256,64,No,PCIe 4.0 x16,HBM2,Vega 20
Radeon Pro 555X,4,128,907,1470,48,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
Radeon Pro 560X,4,128,1004,1470,64,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
Radeon Pro V340,16,2048,852,945,224,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro Vega 16,4,1024,815,1200,64,32,No,PCIe 3.0 x16,HBM2,Vega 12
Radeon Pro Vega 20,4,1024,815,740,80,32,No,PCIe 3.0 x16,HBM2,Vega 12
Radeon Pro WX 8200,8,2048,1200,1000,224,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro WX Vega M GL,4,1024,931,700,80,32,No,IGP,HBM2,Polaris 22
RX 540X Mobile,2,128,1124,1500,32,16,No,PCIe 3.0 x8,GDDR5,Polaris 23
RX 550X,4,128,1100,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
RX 550X 640SP,2,128,1019,1500,40,16,No,PCIe 3.0 x8,GDDR5,Baffin
RX 550X Mobile,2,64,1100,1500,40,16,No,PCIe 3.0 x8,GDDR5,Polaris 23
RX 560DX,4,128,1090,1500,56,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
RX 560X,4,128,1175,1750,64,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
RX 560X Mobile,4,128,1275,1450,64,16,No,MXM-B (3.0),GDDR5,Polaris 21
RX 560X Mobile,4,128,1275,1750,64,16,No,MXM-B (3.0),GDDR5,Polaris 21
RX 560X Mobile,2,128,1175,1500,64,16,No,MXM-B (3.0),GDDR5,Polaris 21
RX 570X,8,256,1168,1750,128,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 580 2048SP,4,256,1168,1750,128,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 580G,8,256,1257,2000,144,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 580X,8,256,1257,2000,144,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 580X Mobile,8,256,1000,2000,144,32,No,MXM-B (3.0),GDDR5,Polaris 20
RX 590,8,256,1469,2000,144,32,No,PCIe 3.0 x16,GDDR5,Polaris 30
RX Vega 11,,,300,,44,8,Yes,IGP,System Shared,Raven
RX Vega 11 Embedded,,,300,,44,8,Yes,IGP,System Shared,Raven
RX Vega 11 Mobile,,,300,,44,8,Yes,IGP,System Shared,Raven
RX Vega 56 Mobile,8,2048,1138,800,224,64,No,PCIe 3.0 x16,HBM2,Vega 10
RX Vega M GH,4,1024,1063,800,96,64,No,IGP,HBM2,Polaris 22
RX Vega M GL,4,1024,931,700,80,32,No,IGP,HBM2,Polaris 22
Radeon Vega 11 Embedded,,,300,,44,8,Yes,IGP,System Shared,Raven
Radeon Vega 3 Embedded,,,300,,12,4,Yes,IGP,System Shared,Raven
Radeon Vega 3 Embedded,,,300,,12,4,Yes,IGP,System Shared,Raven
Radeon Vega 3 Embedded,,,300,,12,4,Yes,IGP,System Shared,Raven
Radeon Vega 3 Mobile,,,300,,12,4,Yes,IGP,System Shared,Raven
Radeon Vega 6 Embedded,,,300,,24,8,Yes,IGP,System Shared,Raven
Radeon Vega 6 Mobile,,,300,,24,8,Yes,IGP,System Shared,Raven
Radeon Vega 8,,,300,,32,8,Yes,IGP,System Shared,Raven
Radeon Vega 8 Embedded,,,300,,32,8,Yes,IGP,System Shared,Raven
Radeon Vega 8 Embedded,,,300,,32,8,Yes,IGP,System Shared,Raven
Tesla T4,16,256,585,1250,160,64,No,PCIe 3.0 x16,GDDR6,TU104
Tesla V100 DGXS 16 GB,16,4096,1327,876,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100 DGXS 32 GB,32,4096,1297,876,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100 FHHL,16,4096,937,810,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100 PCIe 32 GB,32,4096,1230,876,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100 SXM2 32 GB,32,4096,1290,876,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100 SXM3 32 GB,32,4096,1290,876,320,128,No,PCIe 3.0 x16,HBM2,GV100
TITAN RTX,24,384,1350,1750,288,96,No,PCIe 3.0 x16,GDDR6,TU102
TITAN V CEO Edition,32,4096,1200,848,320,128,No,PCIe 3.0 x16,HBM2,GV100
UHD Graphics 610,,,350,,12,2,Yes,Ring Bus,System Shared,Coffee Lake GT1
UHD Graphics 610,,,300,,12,2,Yes,Ring Bus,System Shared,Coffee Lake GT1
UHD Graphics 615,,,300,,24,3,Yes,Ring Bus,System Shared,Amber Lake GT2
UHD Graphics 617,,,300,,24,3,Yes,Ring Bus,System Shared,Amber Lake GT2
UHD Graphics 620,,,300,,24,3,Yes,Ring Bus,System Shared,Whiskey Lake GT2
UHD Graphics 630,,,350,,24,3,Yes,Ring Bus,System Shared,Coffee Lake GT2
UHD Graphics P630,,,350,,24,3,Yes,Ring Bus,System Shared,Coffee Lake GT2
UHD Graphics P630,,,350,,24,3,Yes,Ring Bus,System Shared,Coffee Lake GT2
Zhongshan Subor Z+ GPU,8,256,1300,1200,96,32,No,IGP,GDDR5,Fenghuang
GT 1030,2,64,1228,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP108
GT 720 OEM,1.024,128,993,891,16,16,No,PCIe 3.0 x16,DDR3,GK107
GTX 1050 Mobile,2,128,1354,1752,40,16,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1050 Mobile,2,128,1354,1752,40,16,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1050 Ti Mobile,4,128,1493,1752,48,32,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1050 Ti Mobile,2,128,1493,1752,48,32,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1060 5 GB,5,160,1506,2002,80,40,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1060 6 GB 9Gbps,6,192,1506,2257,80,48,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1060 Max-Q,6,192,1063,2002,80,48,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1070 Max-Q,8,256,1215,2002,128,64,No,PCIe 3.0 x16,GDDR5,GP104
GTX 1070 Ti,8,256,1607,2002,152,64,No,PCIe 3.0 x16,GDDR5,GP104
GTX 1080 11Gbps,8,256,1607,1376,160,64,No,PCIe 3.0 x16,GDDR5X,GP104
GTX 1080 Max-Q,8,256,1290,1251,160,64,No,PCIe 3.0 x16,GDDR5X,GP104
GTX 1080 Ti,11,352,1481,1376,224,88,No,PCIe 3.0 x16,GDDR5X,GP102
MX110,2,64,978,1253,24,8,No,PCIe 3.0 x4,GDDR5,GM108
MX130,2,64,1109,1253,24,8,No,PCIe 3.0 x4,GDDR5,GM108
MX150,2,64,1469,1502,24,16,No,PCIe 3.0 x4,GDDR5,GP108
MX150,2,64,937,1253,24,16,No,PCIe 3.0 x4,GDDR5,GP108
Iris Plus Graphics 640,,,300,,48,6,Yes,Ring Bus,System Shared,Kaby Lake GT3e
Iris Plus Graphics 650,,,300,,48,6,Yes,Ring Bus,System Shared,Kaby Lake GT3e
P104-100,4,256,1607,1251,120,64,No,PCIe 3.0 x16,GDDR5X,GP104
P106-090,3,192,1354,2002,48,48,No,PCIe 3.0 x16,GDDR5,GP106
P106-100,6,192,1506,2002,80,48,No,PCIe 3.0 x16,GDDR5,GP106
Quadro M1200 Mobile,4,128,991,1253,40,16,No,MXM-A (3.0),GDDR5,GM107
Quadro M2200 Mobile,4,128,695,1377,64,32,No,MXM-A (3.0),GDDR5,GM206
Quadro M520 Mobile,2,64,1041,1253,16,8,No,MXM-A (3.0),GDDR5,GM108
Quadro M620 Mobile,2,128,756,1253,32,16,No,MXM-A (3.0),GDDR5,GM107
Quadro P1000,4,128,1266,1253,40,32,No,PCIe 3.0 x16,GDDR5,GP107
Quadro P1000,4,128,1354,1502,32,16,No,PCIe 3.0 x16,GDDR5,GP107
Quadro P1000 Mobile,4,128,1303,1502,32,16,No,PCIe 3.0 x16,GDDR5,GP107
Quadro P2000,5,160,1076,1752,64,40,No,PCIe 3.0 x16,GDDR5,GP106
Quadro P2000 Mobile,4,128,1557,1502,48,32,No,PCIe 3.0 x16,GDDR5,GP107
Quadro P3000 Mobile,6,192,1088,1753,80,48,No,MXM-B (3.0),GDDR5,GP104
Quadro P400,2,64,1228,1002,16,16,No,PCIe 3.0 x16,GDDR5,GP107
Quadro P4000,8,256,1202,1901,112,64,No,PCIe 3.0 x16,GDDR5,GP104
Quadro P4000 Max-Q,8,256,1114,1502,112,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P4000 Mobile,8,256,1227,1502,112,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P5000 Mobile,16,256,1278,1502,128,64,No,MXM-B (3.0),GDDR5,GP104
Quadro P600,2,128,1329,1002,24,16,No,PCIe 3.0 x16,GDDR5,GP107
Quadro P600 Mobile,4,128,1430,1253,24,16,No,PCIe 3.0 x16,GDDR5,GP107
Radeon 520 Mobile,2,64,1030,1000,20,8,No,PCIe 3.0 x8,DDR3,Banks
Radeon 520 Mobile,2,64,1030,1125,20,8,No,PCIe 3.0 x8,GDDR5,Banks
Radeon 530 Mobile,2,64,730,900,24,8,No,PCIe 3.0 x8,DDR3,Weston
Radeon 530X Mobile,2,64,730,1125,24,8,No,PCIe 3.0 x8,GDDR5,Polaris 24
Radeon 535 Mobile,2,64,730,1125,24,8,No,PCIe 3.0 x8,GDDR5,Polaris 24
Radeon 550,2,64,1100,1750,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon E9171 MCM,4,128,1124,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon E9172 MXM,2,64,1124,1500,32,16,No,MXM-A (3.0),GDDR5,Lexa
Radeon E9173 PCIe,2,64,1124,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon E9174 MXM,4,128,1124,1500,32,16,No,MXM-A (3.0),GDDR5,Lexa
Radeon E9175 PCIe,4,128,1124,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon Instinct MI25,16,2048,1400,852,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro 555,2,128,850,1275,48,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
Radeon Pro 560,4,128,907,1270,64,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
Radeon Pro 570,4,256,1000,1695,112,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
Radeon Pro 575,4,256,1096,1695,128,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
Radeon Pro 580,8,256,1100,1695,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Radeon Pro Duo Polaris,16,256,1243,1750,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Radeon Pro SSG,16,2048,1440,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro V320,16,2048,852,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro Vega 56,8,2048,1138,786,224,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro Vega 64,16,2048,1250,786,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro WX 2100,2,64,925,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon Pro WX 3100,4,128,925,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
Radeon Pro WX 4130 Mobile,4,128,1002,1500,40,16,No,PCIe 3.0 x8,GDDR5,Baffin
Radeon Pro WX 4150 Mobile,4,128,1002,1500,56,16,No,PCIe 3.0 x8,GDDR5,Baffin
Radeon Pro WX 4170 Mobile,4,128,1002,1500,64,16,No,PCIe 3.0 x8,GDDR5,Baffin
Radeon Pro WX 7100 Mobile,8,256,1188,1250,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Radeon Pro WX 7130 Mobile,8,256,1188,1250,144,32,No,PCIe 3.0 x16,GDDR5,Ellesmere
Radeon Pro WX 8100,8,2048,1200,1000,224,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Pro WX 9100,16,2048,1200,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon R5 Graphics,,,200,,24,8,Yes,IGP,System Shared,Wani
Radeon R8 M535DX,,,780,,20,8,Yes,IGP,System Shared,Meso
RX 460 1024SP,2,128,1090,1750,64,16,No,PCIe 3.0 x8,GDDR5,Baffin
RX 540 Mobile,2,128,1124,1500,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
RX 550,2,128,1100,1750,32,16,No,PCIe 3.0 x8,GDDR5,Lexa
RX 550 512SP,2,128,1019,1500,32,16,No,PCIe 3.0 x8,GDDR5,Baffin
RX 550 640SP,2,128,1019,1500,40,16,No,PCIe 3.0 x8,GDDR5,Baffin
RX 550 Mobile,2,128,1100,1500,40,16,No,PCIe 3.0 x8,GDDR5,Lexa
RX 560,4,128,1175,1750,64,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
RX 560 896SP,4,128,1090,1750,56,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
RX 560 Mobile,4,128,1090,1500,64,16,No,MXM-B (3.0),GDDR5,Baffin
RX 560 Mobile,4,128,1000,1500,56,16,No,MXM-B (3.0),GDDR5,Baffin
RX 560 Mobile,4,128,784,1710,56,16,No,MXM-B (3.0),GDDR5,Baffin
RX 560D,4,128,1090,1500,56,16,No,PCIe 3.0 x8,GDDR5,Polaris 21
RX 570,4,256,1168,1750,128,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 570 Mobile,8,256,926,1650,128,32,No,MXM-B (3.0),GDDR5,Ellesmere
RX 570 X2,8,256,1120,2100,128,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 580,8,256,1257,2000,144,32,No,PCIe 3.0 x16,GDDR5,Polaris 20
RX 580 Mobile,8,256,1000,2000,144,32,No,MXM-B (3.0),GDDR5,Polaris 20
RX Vega 10 Mobile,,,300,,40,8,Yes,IGP,System Shared,Raven
RX Vega 56,8,2048,1156,800,224,64,No,PCIe 3.0 x16,HBM2,Vega 10
RX Vega 64,8,2048,1247,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
RX Vega 64 Limited Edition,8,2048,1247,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
RX Vega 64 Liquid Cooling,8,2048,1406,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Vega 8 Mobile,,,300,,32,8,Yes,IGP,System Shared,Raven
Radeon Vega Frontier Edition,16,2048,1382,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Radeon Vega Frontier Edition Watercooled,16,2048,1382,945,256,64,No,PCIe 3.0 x16,HBM2,Vega 10
Switch GPU 20nm,4,64,384,1600,16,16,No,IGP,DDR4,GM20B
Tesla P6,16,256,1012,1502,128,64,No,MXM-B (3.0),GDDR5,GP104
Tesla V100 PCIe 16 GB,16,4096,1245,876,320,128,No,PCIe 3.0 x16,HBM2,GV100
Tesla V100 SXM2 16 GB,16,4096,1312,876,320,128,No,PCIe 3.0 x16,HBM2,GV100
TITAN V,12,3072,1200,848,320,96,No,PCIe 3.0 x16,HBM2,GV100
TITAN Xp,12,384,1405,1426,240,96,No,PCIe 3.0 x16,GDDR5X,GP102
UHD Graphics 600,,,200,,12,2,Yes,Ring Bus,System Shared,Gemini Lake GT1
UHD Graphics 605,,,200,,18,3,Yes,Ring Bus,System Shared,Gemini Lake GT1.5
UHD Graphics 620,,,300,,24,3,Yes,Ring Bus,System Shared,Kaby Lake GT2
UHD Graphics 630,,,350,,24,3,Yes,Ring Bus,System Shared,Coffee Lake GT2
UHD Graphics 630,,,350,,23,3,Yes,Ring Bus,System Shared,Coffee Lake GT2
Xbox One X GPU,12,384,1172,1700,160,32,No,IGP,GDDR5,Scorpio
FirePro S7100X,8,256,725,1250,128,32,No,PCIe 3.0 x16,GDDR5,Amethyst
FirePro S7150,8,256,920,1250,128,32,No,PCIe 3.0 x16,GDDR5,Tonga
FirePro S7150 x2,8,256,1050,1250,112,32,No,PCIe 3.0 x16,GDDR5,Tonga
FirePro S9300 X2,4,4096,975,500,256,64,No,PCIe 3.0 x16,HBM,Capsaicin
920MX,2,64,965,900,24,8,No,PCIe 3.0 x8,DDR3,GM108
930MX,2,64,952,900,24,8,No,PCIe 3.0 x8,DDR3,GM108
940MX,2,64,1004,1001,24,8,No,PCIe 3.0 x8,DDR3,GM108
940MX,2,64,795,1253,32,8,No,PCIe 3.0 x8,GDDR5,GM107
940MX,1.024,64,954,1253,24,8,No,PCIe 3.0 x8,GDDR5,GM108
945M,1.024,64,1006,1001,24,8,No,PCIe 3.0 x8,DDR3,GM108
GT 610 OEM,2,64,701,500,8,2,No,PCIe 2.0 x16,DDR3,GF108
GT 710,1.024,64,810,898,8,4,No,PCIe 2.0 x16,DDR3,GF119
GTX 1050,2,128,1354,1752,40,32,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1050 Ti,4,128,1291,1752,48,32,No,PCIe 3.0 x16,GDDR5,GP107
GTX 1060 3 GB,3,192,1506,2002,72,48,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1060 3 GB GP104,3,192,1506,2002,72,48,No,PCIe 3.0 x16,GDDR5,GP104
GTX 1060 6 GB,6,192,1506,2002,80,48,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1060 Mobile,6,192,1404,2002,80,48,No,PCIe 3.0 x16,GDDR5,GP106
GTX 1070,8,256,1506,2002,120,64,No,PCIe 3.0 x16,GDDR5,GP104
GTX 1070 Mobile,8,256,1442,2002,128,64,No,PCIe 3.0 x16,GDDR5,GP104
GTX 1080,8,256,1607,1251,160,64,No,PCIe 3.0 x16,GDDR5X,GP104
GTX 1080 Mobile,8,256,1556,1251,160,64,No,PCIe 3.0 x16,GDDR5X,GP104
GTX 760 OEM,2,256,993,1650,112,32,No,PCIe 3.0 x16,GDDR5,GK104
GTX 950 Low Power,2,128,1026,1653,48,32,No,PCIe 3.0 x16,GDDR5,GM206
GTX 950 OEM,4,128,937,1253,64,32,No,PCIe 3.0 x16,GDDR5,GM206
GTX 965M,2,128,935,1253,64,32,No,MXM-B (3.0),GDDR5,GM206
GTX 980MX,8,256,1050,1500,104,64,No,PCIe 3.0 x16,GDDR5,GM204
GRID M10-8Q,8,128,1033,1300,40,16,No,PCIe 3.0 x16,GDDR5,GM107
GRID M3-3020,4,128,1033,1300,40,16,No,PCIe 3.0 x16,GDDR5,GM107
GRID M40,8,128,1033,1300,32,16,No,PCIe 3.0 x16,GDDR5,GM107
HD Graphics 505,,,200,,18,3,Yes,Ring Bus,System Shared,Apollo Lake GT1.5
HD Graphics 610,,,350,,12,2,Yes,Ring Bus,System Shared,Kaby Lake GT1
HD Graphics 610,,,300,,12,2,Yes,Ring Bus,System Shared,Kaby Lake GT1
HD Graphics 615,,,300,,24,3,Yes,Ring Bus,System Shared,Kaby Lake GT2
HD Graphics 620,,,300,,24,3,Yes,Ring Bus,System Shared,Kaby Lake GT2
HD Graphics 630,,,350,,24,3,Yes,Ring Bus,System Shared,Kaby Lake GT2
HD Graphics 630,,,350,,24,3,Yes,Ring Bus,System Shared,Kaby Lake GT2
HD Graphics P630,,,350,,24,3,Yes,Ring Bus,System Shared,Kaby Lake GT2
Jetson TX2 GPU,,,854,,16,16,Yes,IGP,System Shared,GP10B
Playstation 4 Pro GPU,8,256,911,1700,144,32,No,IGP,GDDR5,Neo
Playstation 4 Slim GPU,8,256,800,1375,72,32,No,IGP,GDDR5,Liverpool 16nm
